,-3671.9500000000003
BCARD3Brch-5,0.0
BCARD77Brch-1,0.0
BCARD3Brch-4,0.0
Others1Brch-2,0.0
Clubs4Brch-1,0.0
Food&Beverage1Brch-107,0.0
Others1Brch-3,0.0
Others1Brch-5,0.0
Clubs5Brch-1,0.0
Motor&Fuel1Brch-9,0.0
Food&Beverage12Brch-1,0.0
BCARD32Brch-2,0.0
BCARD33Brch-1,0.0
BCARD30Brch-1,0.0
BCARD21Brch-46,0.0
BCARD37Brch-50,0.0
BCARD37Brch-58,0.0
BCARD37Brch-24,0.0
BCARD37Brch-6,0.0
BCARD37Brch-8,0.0
BCARD37Brch-71,0.0
BCARD37Brch-31,0.0
BCARD37Brch-59,0.0
BCARD37Brch-45,0.0
BCARD37Brch-3,0.0
BCARD37Brch-70,0.0
BCARD37Brch-23,0.0
BCARD37Brch-29,0.0
BCARD37Brch-81,0.0
BCARD37Brch-73,0.0
BCARD37Brch-72,0.0
BCARD37Brch-76,0.0
BCARD37Brch-77,0.0
BCARD37Brch-19,0.0
BCARD37Brch-49,0.0
BCARD37Brch-10,0.0
BCARD37Brch-66,0.0
BCARD37Brch-48,0.0
BCARD37Brch-78,0.0
BCARD37Brch-83,0.0
BCARD37Brch-15,0.0
BCARD37Brch-43,0.0
BCARD38Brch-6,0.0
BCARD38Brch-2,0.0
BCARD38Brch-5,0.0
BCARD59Brch-646,0.0
BCARD59Brch-668,0.0
BCARD38Brch-20,0.0
Others6Brch-7,0.0
BCARD59Brch-572,0.0
BCARD59Brch-654,0.0
BCARD59Brch-665,0.0
BCARD41Brch-1,0.0
Motor&Fuel7Brch-277,0.0
Motor&Fuel7Brch-131,0.0
BCARD37Brch-35,0.0
Motor&Fuel7Brch-376,0.0
Motor&Fuel7Brch-251,0.0
BCARD59Brch-604,0.0
BCARD37Brch-93,0.0
Motor&Fuel7Brch-20,0.0
Motor&Fuel7Brch-248,0.0
BCARD43Brch-1,0.0
BCARD59Brch-562,0.0
BCARD59Brch-558,0.0
Motor&Fuel7Brch-61,0.0
Food&Beverage3Brch-28,0.0
BCARD37Brch-94,0.0
Motor&Fuel7Brch-303,0.0
Motor&Fuel7Brch-396,0.0
Motor&Fuel7Brch-373,0.0
Motor&Fuel7Brch-343,0.0
Food&Beverage3Brch-29,0.0
BCARD59Brch-657,0.0
Others9Brch-398,0.0
Others9Brch-650,0.0
Others9Brch-903,0.0
Others9Brch-1022,0.0
Others9Brch-1500,0.0
Motor&Fuel7Brch-188,0.0
BCARD59Brch-543,0.0
Motor&Fuel7Brch-202,0.0
Others11Brch-730,0.0
Others11Brch-841,0.0
Others11Brch-766,0.0
Others11Brch-834,0.0
Others9Brch-1304,0.0
Others11Brch-161,0.0
Motor&Fuel7Brch-316,0.0
BCARD37Brch-98,0.0
Others11Brch-737,0.0
Others11Brch-171,0.0
Motor&Fuel7Brch-39,0.0
Others11Brch-21,0.0
Motor&Fuel7Brch-141,0.0
Others11Brch-303,0.0
Motor&Fuel7Brch-435,0.0
Others11Brch-758,0.0
Motor&Fuel7Brch-241,0.0
Others9Brch-326,0.0
Motor&Fuel7Brch-230,0.0
Motor&Fuel7Brch-420,0.0
BCARD75Brch-1,0.0
Others9Brch-471,0.0
Others9Brch-1747,0.0
Others5Brch-12,0.0
Motor&Fuel7Brch-425,0.0
Others9Brch-113,0.0
Motor&Fuel7Brch-17,0.0
Others11Brch-777,0.0
BCARD37Brch-85,0.0
Others11Brch-262,0.0
Others9Brch-850,0.0
BCARD37Brch-39,0.0
Others11Brch-872,0.0
Food&Beverage2Brch-95,0.0
Others9Brch-306,0.0
Others9Brch-63,0.0
Others11Brch-830,0.0
Motor&Fuel7Brch-246,0.0
BCARD37Brch-95,0.0
Others9Brch-1383,0.0
Others9Brch-866,0.0
Others9Brch-672,0.0
Others9Brch-8,0.0
Others11Brch-840,0.0
Others9Brch-690,0.0
Others9Brch-863,0.0
Others9Brch-229,0.0
Others9Brch-57,0.0
BCARD53Brch-2,0.0
BCARD53Brch-3,0.0
Others9Brch-1139,0.0
Motor&Fuel7Brch-189,0.0
BCARD52Brch-1,0.0
Motor&Fuel7Brch-240,0.0
Motor&Fuel7Brch-183,0.0
Others11Brch-96,0.0
Others9Brch-33,0.0
Motor&Fuel7Brch-324,0.0
Motor&Fuel7Brch-386,0.0
Others9Brch-210,0.0
Others9Brch-1316,0.0
BCARD72Brch-1,0.0
Others11Brch-547,0.0
Motor&Fuel7Brch-262,0.0
BCARD43Brch-3,0.0
Others11Brch-36,0.0
Others11Brch-580,0.0
BCARD43Brch-8,0.0
BCARD43Brch-9,0.0
Motor&Fuel7Brch-224,0.0
Motor&Fuel7Brch-440,0.0
Others11Brch-56,0.0
Others9Brch-1136,0.0
Others11Brch-790,0.0
BCARD37Brch-92,0.0
Motor&Fuel7Brch-442,0.0
BCARD43Brch-7,0.0
BCARD44Brch-1,0.0
Others9Brch-1092,0.0
Motor&Fuel7Brch-111,0.0
Motor&Fuel7Brch-13,0.0
Others5Brch-14,0.0
BCARD73Brch-1,0.0
Food&Beverage13Brch-57,0.0
Motor&Fuel7Brch-388,0.0
Education1Brch-5,0.0
Others11Brch-554,0.0
Others9Brch-581,0.0
BCARD54Brch-10,0.0
Others14Brch-55,0.0
Others14Brch-56,0.0
Others14Brch-59,0.0
Others14Brch-60,0.0
Others14Brch-54,0.0
